inner_diam,impeller_diam,motor_speed,ext_fpm,int_fpm,field_voltage,armature_voltage,field_current,armature_current,pump_suction_pressure,pump_discharge_pressure,drive_shaft_torque,flowrate_percentage,flow_rate,pump_suction_pressure_pa,pump_discharge_pressure_pa,head_exp,delta_head_exp
0.4,3.5,50,2907.8,778.1,139,134,280,2.2,1.3,5.5,5,21.5,12.89785,8963.184464,37921.16504,1.84255,0.21425
0.4,3.5,40,2317.5,778.1,139,107,280,1.89,1.7,5,3.2,19,11.3981,11721.08738,34473.7864,1.6283,0.1714
0.4,3.5,30,1717.9,778.1,139,81,280,1.38,2.1,4.25,2,17,10.1983,14478.99029,29302.71844,1.4569,0.55705
0.4,3.5,20,1120.2,778.1,138,54,280,1.1,2.5,4,1,10.5,6.29895,17236.8932,27579.02912,0.89985,0.29995
0.4,3.5,10,519.2,778.1,138,22,280,0.8,2.6,3.5,0.95,7,4.1993,17926.36893,24131.65048,0.5999,
0.5,4.5,50,2770,667.4,140,130,300,3.6,1,6.8,10.5,28,16.7972,6894.75728,46884.3495,2.3996,0.1714
0.5,4.5,40,2252,667.4,140,105,290,2.62,1.1,5.8,7,26,15.5974,7584.233008,39989.59222,2.2282,0.449925
0.5,4.5,30,1673.5,667.4,140,80,290,1.9,1.7,5,4,20.75,12.447925,11721.08738,34473.7864,1.778275,0.535625
0.5,4.5,20,1074.8,667.4,140,50,285,1.3,2.4,4,2,14.5,8.69855,16547.41747,27579.02912,1.24265,1.15695
0.5,4.5,10,487.8,667.4,140,25,285,1,2.6,4,1,1,0.5999,17926.36893,27579.02912,0.0857,
0.5,5.125,50,2800,714.5,140,127,275,5,-0.5,7.5,15.2,31,18.5969,-1693.195,51710.6796,2.6567,0.32566
0.5,5.125,40,2261.5,714.5,139,111,275,3.42,0.6,6.1,27.2,27.2,16.31728,4136.854368,42058.01941,2.33104,0.35994
0.5,5.125,30,1696,714.5,138,82,275,2.11,1.5,5,23,23,13.7977,10342.13592,34473.7864,1.9711,0.578475
0.5,5.125,20,1090,714.5,138,53,275,1.4,2.2,4.3,16.25,16.25,9.748375,15168.46602,29647.4563,1.392625,0.861285
0.5,5.125,10,512.6,714.5,138,22,275,0.95,2.5,4,6.2,6.2,3.71938,17236.8932,27579.02912,0.53134,
