Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 4:29:46 PM.43,31.6,100,20.2,29.2,34.3,22,36.5,24.5,39.2,26.6,0.09,8,-23.72,3.64,0,13.68
2/13/2025 4:29:46 PM.93,31.6,100,20.2,29.2,34.3,22,36.5,24.5,39.2,26.6,0.09,9,-23.85,3.63,0,13.74
2/13/2025 4:29:47 PM.43,31.6,100,20.2,29.2,34.3,22,36.5,24.6,39.2,26.5,0.1,9,-23.81,3.66,0,13.74
2/13/2025 4:29:47 PM.93,31.6,100,20.2,29.2,34.3,22,36.5,24.5,39.2,26.6,0.1,8,-23.96,3.65,0,13.81
2/13/2025 4:29:48 PM.43,31.6,100,20.2,29.2,34.3,22,36.5,24.5,39.2,26.6,0.1,8,-23.95,3.63,0,13.79
2/13/2025 4:29:48 PM.93,31.6,100,20.2,29.2,34.3,22,36.5,24.5,39.2,26.6,0.09,8,-23.83,3.62,0,13.73
2/13/2025 4:29:49 PM.43,31.7,100,20.3,29.3,34.3,22,36.5,24.5,39.2,26.6,0.09,9,-23.81,3.65,0,13.73
2/13/2025 4:29:49 PM.93,31.7,100,20.2,29.2,34.3,22,36.5,24.5,39.2,26.5,0.09,8,-23.7,3.64,0,13.67
2/13/2025 4:29:50 PM.43,31.8,100,20.4,29.3,34.3,22,36.5,24.5,39.1,26.6,0.1,9,-23.89,3.62,0,13.76
2/13/2025 4:29:50 PM.93,31.8,100,20.4,29.3,34.3,22,36.5,24.5,39.1,26.6,0.1,8,-23.55,3.61,0,13.58
2/13/2025 4:29:51 PM.43,31.8,100,20.5,29.3,34.3,22,36.5,24.5,39.2,26.5,0.09,8,-23.67,3.62,0,13.65
2/13/2025 4:29:51 PM.93,31.8,100,20.4,29.3,34.3,22,36.5,24.5,39.2,26.6,0.09,8,-23.76,3.6,0,13.68
2/13/2025 4:29:52 PM.43,31.8,100,20.5,29.3,34.3,22,36.5,24.5,39.2,26.6,0.1,8,-23.76,3.62,0,13.69
2/13/2025 4:29:52 PM.93,31.8,100,20.5,29.3,34.3,22,36.5,24.5,39.2,26.5,0.1,8,-23.65,3.63,0,13.64
2/13/2025 4:29:53 PM.43,31.9,100,20.5,29.3,34.3,22,36.5,24.5,39.2,26.6,0.1,8,-23.63,3.61,0,13.62
2/13/2025 4:29:53 PM.93,31.8,100,20.4,29.3,34.3,22,36.5,24.5,39.2,26.6,0.1,7,-23.52,3.63,0,13.58
2/13/2025 4:29:54 PM.43,31.8,100,20.4,29.3,34.2,22,36.5,24.5,39.2,26.6,0.1,8,-23.67,3.65,0,13.66
