Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 4:12:29 PM.43,27.7,100,17.9,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.1,11,-16.66,3.22,0,9.94
2/13/2025 4:12:29 PM.93,27.7,100,17.9,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,11,-16.66,3.2,0,9.93
2/13/2025 4:12:30 PM.43,27.7,100,17.8,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,10,-16.54,3.2,0,9.87
2/13/2025 4:12:30 PM.93,27.7,100,17.9,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.1,11,-16.42,3.18,0,9.8
2/13/2025 4:12:31 PM.43,27.6,100,17.8,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,10,-16.56,3.23,0,9.9
2/13/2025 4:12:31 PM.93,27.6,100,17.8,25.8,30.7,19.2,33.6,21.3,37.2,23.2,0.09,11,-16.44,3.2,0,9.82
2/13/2025 4:12:32 PM.43,27.6,100,17.8,25.8,30.7,19.2,33.6,21.3,37.4,23.2,0.1,11,-16.56,3.23,0,9.9
2/13/2025 4:12:32 PM.93,27.6,100,17.8,25.8,30.7,19.2,33.5,21.3,37.3,23.2,0.1,10,-16.68,3.23,0,9.96
2/13/2025 4:12:33 PM.43,27.6,100,17.8,25.8,30.7,19.2,33.5,21.3,37.3,23.2,0.09,11,-16.68,3.28,0,9.98
2/13/2025 4:12:33 PM.93,27.6,100,17.8,25.8,30.7,19.2,33.5,21.3,37.3,23.2,0.1,10,-16.91,3.26,0,10.09
2/13/2025 4:12:34 PM.43,27.6,100,17.8,25.8,30.7,19.2,33.5,21.3,37.3,23.2,0.1,11,-17.04,3.26,0,10.15
2/13/2025 4:12:34 PM.93,27.6,100,17.8,25.8,30.7,19.2,33.5,21.3,37.3,23.2,0.1,10,-17.04,3.25,0,10.14
2/13/2025 4:12:35 PM.43,27.7,100,17.8,25.8,30.7,19.2,33.5,21.3,37.3,23.2,0.09,11,-16.91,3.26,0,10.09
2/13/2025 4:12:35 PM.93,27.7,100,17.8,25.8,30.7,19.2,33.5,21.3,37.3,23.2,0.1,11,-16.9,3.26,0,10.08
2/13/2025 4:12:36 PM.43,27.7,100,17.8,25.8,30.7,19.2,33.6,21.3,37.3,23.3,0.1,10,-16.78,3.25,0,10.02
2/13/2025 4:12:36 PM.93,27.7,100,17.8,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,11,-17.02,3.26,0,10.14
2/13/2025 4:12:37 PM.43,27.7,100,17.8,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.1,9,-16.9,3.26,0,10.08
2/13/2025 4:12:37 PM.93,27.7,100,17.8,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.1,10,-16.78,3.24,0,10.01
2/13/2025 4:12:38 PM.43,27.7,100,17.8,25.8,30.7,19.2,33.6,21.3,37.4,23.2,0.09,11,-16.9,3.27,0,10.09
2/13/2025 4:12:38 PM.93,27.7,100,17.8,25.8,30.7,19.2,33.6,21.3,37.3,23.1,0.09,10,-16.77,3.26,0,10.01
2/13/2025 4:12:39 PM.43,27.7,100,17.9,25.8,30.7,19.2,33.6,21.3,37.3,23.1,0.1,11,-16.66,3.24,0,9.95
2/13/2025 4:12:39 PM.93,27.8,100,18.1,25.9,30.7,19.2,33.6,21.3,37.2,23.2,0.1,11,-16.52,3.18,0,9.85
2/13/2025 4:12:40 PM.43,27.7,100,17.9,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,11,-16.77,3.19,0,9.98
2/13/2025 4:12:40 PM.93,27.7,100,18.1,25.9,30.7,19.2,33.6,21.3,37.2,23.3,0.1,10,-16.76,3.16,0,9.96
2/13/2025 4:12:41 PM.43,27.8,100,17.9,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,11,-16.76,3.18,0,9.97
2/13/2025 4:12:41 PM.93,27.8,100,18.2,25.9,30.7,19.2,33.6,21.3,37.3,23.2,0.1,11,-16.63,3.12,0,9.87
2/13/2025 4:12:42 PM.43,27.8,100,17.9,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,11,-16.63,3.2,0,9.91
2/13/2025 4:12:42 PM.93,27.9,100,18.2,25.9,30.7,19.2,33.6,21.4,37.3,23.2,0.1,11,-16.72,3.14,0,9.93
2/13/2025 4:12:43 PM.43,27.8,100,18,25.8,30.7,19.2,33.6,21.4,37.4,23.2,0.09,11,-16.63,3.18,0,9.91
2/13/2025 4:12:43 PM.93,27.8,100,18,25.8,30.7,19.2,33.6,21.4,37.4,23.3,0.1,11,-16.63,3.2,0,9.91
2/13/2025 4:12:44 PM.43,27.8,100,18,25.8,30.7,19.2,33.6,21.4,37.4,23.2,0.1,10,-16.63,3.17,0,9.9
2/13/2025 4:12:44 PM.93,27.8,100,18,25.8,30.7,19.2,33.6,21.4,37.4,23.2,0.1,10,-16.51,3.18,0,9.85
2/13/2025 4:12:45 PM.43,27.8,100,18,25.8,30.7,19.2,33.6,21.3,37.3,23.2,0.09,10,-16.39,3.2,0,9.79
2/13/2025 4:12:45 PM.93,27.9,100,18.1,25.9,30.7,19.2,33.6,21.3,37.4,23.2,0.09,11,-16.5,3.18,0,9.84
2/13/2025 4:12:46 PM.43,27.9,100,18.1,25.9,30.7,19.2,33.6,21.3,37.3,23.2,0.09,10,-16.37,3.2,0,9.79
2/13/2025 4:12:46 PM.93,27.9,100,18.1,25.9,30.7,19.2,33.6,21.3,37.3,23.2,0.1,11,-16.5,3.18,0,9.84
2/13/2025 4:12:47 PM.43,27.9,100,18.1,25.9,30.7,19.2,33.6,21.3,37.3,23.2,0.09,11,-16.25,3.17,0,9.71
2/13/2025 4:12:47 PM.93,27.9,100,18.2,25.9,30.7,19.2,33.6,21.3,37.3,23.2,0.09,10,-16.62,3.13,0,9.87
2/13/2025 4:12:48 PM.43,27.9,100,18.2,25.9,30.7,19.2,33.6,21.4,37.3,23.1,0.1,10,-16.5,3.13,0,9.81
2/13/2025 4:12:48 PM.93,27.9,100,18.2,25.9,30.7,19.2,33.6,21.4,37.3,23.2,0.1,10,-16.37,3.12,0,9.75
2/13/2025 4:12:49 PM.43,27.9,100,18.2,26,30.7,19.2,33.6,21.4,37.4,23.3,0.1,10,-16.37,3.13,0,9.75
2/13/2025 4:12:49 PM.93,27.9,100,18.2,26,30.7,19.2,33.6,21.4,37.3,23.2,0.1,10,-16.36,3.18,0,9.77
2/13/2025 4:12:50 PM.43,27.9,100,18.2,26,30.7,19.2,33.6,21.4,37.4,23.3,0.09,10,-16.48,3.21,0,9.85
2/13/2025 4:12:50 PM.93,28,100,18.2,26,30.7,19.2,33.6,21.4,37.4,23.2,0.09,11,-16.47,3.18,0,9.83
2/13/2025 4:12:51 PM.43,28,100,18.3,26,30.7,19.2,33.6,21.4,37.4,23.2,0.1,10,-16.36,3.2,0,9.78
2/13/2025 4:12:51 PM.93,28,100,18.3,26,30.7,19.2,33.6,21.3,37.4,23.2,0.09,10,-16.71,3.16,0,9.94
2/13/2025 4:12:52 PM.43,28,100,18.3,26,30.7,19.2,33.6,21.3,37.3,23.2,0.1,10,-16.71,3.14,0,9.93
2/13/2025 4:12:52 PM.93,28,100,18.3,26,30.7,19.2,33.6,21.3,37.4,23.2,0.1,11,-16.95,3.14,0,10.05
2/13/2025 4:12:53 PM.43,28,100,18.3,26.1,30.7,19.2,33.6,21.3,37.3,23.2,0.1,11,-16.95,3.16,0,10.06
2/13/2025 4:12:53 PM.93,28,100,18.3,26.1,30.7,19.2,33.6,21.4,37.4,23.2,0.1,11,-16.83,3.18,0,10.01
