Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
1/30/2025 3:02:15 PM.93,42.6,100,19.4,27.7,38.5,22.5,35.7,25,33.6,26.5,0.09,-69,-23.03,3.91,0,13.47
1/30/2025 3:02:16 PM.43,42.6,100,19.3,27.7,38.5,22.5,35.7,25,33.6,26.5,0.09,-69,-23.03,3.94,0,13.48
1/30/2025 3:02:16 PM.94,42.6,100,19.4,27.7,38.5,22.5,35.7,25,33.6,26.4,0.09,-70,-23.03,3.91,0,13.47
1/30/2025 3:02:17 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25,33.6,26.4,0.09,-69,-23.12,3.93,0,13.52
1/30/2025 3:02:17 PM.94,42.6,100,19.3,27.7,38.5,22.5,35.7,25,33.5,26.5,0.09,-69,-23.12,3.98,0,13.55
1/30/2025 3:02:18 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25,33.6,26.5,0.08,-69,-23.12,4.01,0,13.57
1/30/2025 3:02:18 PM.94,42.6,100,19.4,27.7,38.5,22.5,35.7,25,33.5,26.5,0.09,-69,-23.12,4.02,0,13.57
1/30/2025 3:02:19 PM.44,42.5,100,19.2,27.7,38.5,22.5,35.7,25,33.6,26.5,0.09,-69,-23.22,3.94,0,13.58
1/30/2025 3:02:19 PM.94,42.6,100,19.4,27.7,38.5,22.5,35.7,25,33.5,26.5,0.09,-69,-23.24,4.01,0,13.62
1/30/2025 3:02:20 PM.43,42.6,100,19.2,27.7,38.5,22.5,35.7,25,33.6,26.5,0.08,-69,-23.22,3.94,0,13.58
1/30/2025 3:02:20 PM.94,42.6,100,19.4,27.8,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-22.93,4.02,0,13.48
1/30/2025 3:02:21 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.4,0.09,-69,-23.03,3.95,0,13.49
1/30/2025 3:02:21 PM.94,42.6,100,19.4,27.8,38.5,22.5,35.7,25.1,33.6,26.4,0.09,-69,-23.03,3.98,0,13.5
1/30/2025 3:02:22 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.08,-69,-23.03,3.93,0,13.48
1/30/2025 3:02:22 PM.94,42.6,100,19.4,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.03,3.95,0,13.49
1/30/2025 3:02:23 PM.43,42.6,100,19.2,27.6,38.5,22.5,35.7,25.1,33.6,26.4,0.09,-69,-23.12,3.88,0,13.5
1/30/2025 3:02:23 PM.94,42.6,100,19.3,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.12,3.94,0,13.53
1/30/2025 3:02:24 PM.43,42.5,100,19.2,27.6,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.12,3.93,0,13.53
1/30/2025 3:02:24 PM.93,42.6,100,19.3,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.07,3.94,0,13.5
1/30/2025 3:02:25 PM.44,42.5,100,19.2,27.6,38.5,22.5,35.7,25.1,33.5,26.5,0.09,-69,-22.93,3.94,0,13.44
1/30/2025 3:02:25 PM.94,42.5,100,19.3,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.08,-69,-23.07,3.99,0,13.53
1/30/2025 3:02:26 PM.43,42.5,100,19.1,27.6,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.05,3.95,0,13.5
1/30/2025 3:02:26 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.4,0.09,-69,-22.86,4.01,0,13.43
1/30/2025 3:02:27 PM.44,42.5,100,19.1,27.6,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.14,3.99,0,13.56
1/30/2025 3:02:27 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.5,26.5,0.09,-70,-23.14,4,0,13.57
1/30/2025 3:02:28 PM.44,42.5,100,19.2,27.6,38.5,22.5,35.7,25.1,33.6,26.4,0.08,-69,-23.14,3.97,0,13.56
1/30/2025 3:02:28 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.5,26.5,0.09,-69,-23.24,3.97,0,13.61
1/30/2025 3:02:29 PM.44,42.5,100,19.2,27.6,38.5,22.5,35.7,25.1,33.6,26.4,0.09,-69,-23.14,3.97,0,13.56
1/30/2025 3:02:29 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25,33.6,26.5,0.08,-69,-23.05,3.99,0,13.52
1/30/2025 3:02:30 PM.44,42.5,100,19.2,27.6,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.05,3.99,0,13.52
1/30/2025 3:02:30 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.4,0.08,-69,-23.05,3.97,0,13.51
1/30/2025 3:02:31 PM.44,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.5,26.5,0.09,-69,-23.14,3.99,0,13.56
1/30/2025 3:02:31 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.24,3.98,0,13.61
1/30/2025 3:02:32 PM.44,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.24,3.99,0,13.61
1/30/2025 3:02:32 PM.94,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-22.74,3.99,0,13.36
1/30/2025 3:02:33 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.12,3.99,0,13.55
1/30/2025 3:02:33 PM.94,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.4,0.08,-68,-23.12,3.97,0,13.55
1/30/2025 3:02:34 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.03,3.96,0,13.49
1/30/2025 3:02:34 PM.94,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.03,3.97,0,13.5
1/30/2025 3:02:35 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.08,-69,-23.12,3.99,0,13.55
1/30/2025 3:02:35 PM.94,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.4,0.09,-68,-23.22,3.97,0,13.6
1/30/2025 3:02:36 PM.44,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.14,3.96,0,13.55
1/30/2025 3:02:36 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.03,3.94,0,13.49
1/30/2025 3:02:37 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.05,3.99,0,13.52
1/30/2025 3:02:37 PM.94,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.03,3.99,0,13.51
1/30/2025 3:02:38 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.03,3.99,0,13.51
1/30/2025 3:02:38 PM.94,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.1,3.99,0,13.54
1/30/2025 3:02:39 PM.44,42.6,100,19.2,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.12,3.99,0,13.55
1/30/2025 3:02:39 PM.94,42.5,100,19.2,27.7,38.5,22.5,35.7,25.1,33.5,26.5,0.08,-69,-22.93,3.99,0,13.46
1/30/2025 3:02:40 PM.44,42.6,100,19.3,27.7,38.5,22.5,35.7,25.1,33.6,26.5,0.09,-69,-23.05,3.96,0,13.5
