G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 2:49:13 PM.68,39.7,43.5,26.9,32.6,0.1,7.6,0,0.1,0.1,0.1,2.06,27,-1.51,0,1.43,1.47
2/13/2025 2:49:14 PM.18,39.6,43.4,26.6,32.5,0.1,7.6,0,0.1,0.1,0.1,2.04,27,-1.54,0,1.41,1.48
2/13/2025 2:49:14 PM.68,39.6,43.4,26.8,32.5,0.1,7.6,0,0.1,0.1,0.1,2.08,28,-1.55,0,1.42,1.49
2/13/2025 2:49:15 PM.18,39.6,43.4,26.6,32.4,0.1,7.6,0,0.1,0.1,0.1,2.06,27,-1.55,0,1.45,1.5
2/13/2025 2:49:15 PM.68,39.6,43.4,26.6,32.4,0.1,7.6,0,0.1,0,0.1,2.07,28,-1.55,0,1.47,1.51
2/13/2025 2:49:16 PM.18,39.5,43.4,26.5,32.4,0.1,7.6,0,0.1,0.1,0.1,2.06,27,-1.57,0,1.47,1.52
2/13/2025 2:49:16 PM.68,39.5,43.4,26.6,32.5,0.1,7.6,0,0.1,0.1,0.1,2.07,27,-1.57,0,1.45,1.51
2/13/2025 2:49:17 PM.18,39.5,43.4,26.5,32.5,0.1,7.6,0,0.1,0.1,0.1,2.06,27,-1.59,0,1.5,1.54
2/13/2025 2:49:17 PM.68,39.5,43.4,26.6,32.5,0.1,7.6,0,0.1,0.1,0.1,2.03,28,-1.57,0,1.45,1.51
2/13/2025 2:49:18 PM.18,39.5,43.4,26.5,32.5,0.1,7.6,0,0.1,0.1,0,2.06,27,-1.57,0,1.5,1.54
2/13/2025 2:49:18 PM.68,39.5,43.4,26.6,32.5,0.1,7.6,0,0.1,0.1,0.1,2.07,28,-1.58,0,1.49,1.53
2/13/2025 2:49:19 PM.18,39.5,43.4,26.5,32.5,0.1,7.6,0,0.1,0.1,0.1,2.07,27,-1.56,0,1.49,1.53
2/13/2025 2:49:19 PM.68,39.5,43.4,26.5,32.6,0.1,7.6,0,0.1,0.1,0.1,2.08,28,-1.57,0,1.51,1.54
