G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 3:23:48 PM.43,43.3,39.2,26.4,33.3,0.1,7.6,0,0.1,0.1,0.1,2.02,20,-1.63,0,1.71,1.67
2/13/2025 3:23:48 PM.93,43.3,39.2,26.4,33.3,0.1,7.6,0,0.1,0.1,0,2.05,21,-1.65,0,1.71,1.68
2/13/2025 3:23:49 PM.43,43.4,39.2,26.4,33.3,0.1,7.6,0,0.1,0.1,0.1,2.06,21,-1.64,0,1.72,1.68
2/13/2025 3:23:49 PM.93,43.4,39.3,26.4,33.3,0.1,7.6,0,0.1,0,0.1,2.05,20,-1.69,0,1.72,1.7
2/13/2025 3:23:50 PM.43,43.4,39.3,26.5,33.3,0.1,7.6,0,0.1,0.1,0.1,2.05,20,-1.68,0,1.71,1.7
2/13/2025 3:23:50 PM.93,43.4,39.3,26.5,33.3,0.1,7.6,0,0.1,0.1,0.1,2.05,20,-1.67,0,1.7,1.68
2/13/2025 3:23:51 PM.43,43.4,39.3,26.4,33.3,0.1,7.5,0,0.1,0.1,0.1,2.06,20,-1.67,0,1.71,1.69
2/13/2025 3:23:51 PM.93,43.4,39.3,26.5,33.3,0.1,7.5,0,0.1,0.1,0.1,2.07,20,-1.67,0,1.71,1.69
2/13/2025 3:23:52 PM.43,43.4,39.3,26.5,33.3,0.1,7.5,0,0.1,0.1,0.1,2.06,20,-1.67,0,1.73,1.7
2/13/2025 3:23:52 PM.93,43.5,39.4,26.7,33.5,0.1,7.6,0,0.1,0,0.1,2.07,20,-1.69,0,1.72,1.7
2/13/2025 3:23:53 PM.43,43.5,39.4,26.6,33.4,0.1,7.6,0,0.1,0.1,0.1,2.05,20,-1.69,0,1.69,1.69
2/13/2025 3:23:53 PM.93,43.5,39.4,26.6,33.4,0.1,7.6,0,0.1,0.1,0.1,2.06,20,-1.69,0,1.72,1.7
2/13/2025 3:23:54 PM.43,43.5,39.4,26.6,33.4,0.1,7.6,0,0.1,0.1,0.1,2.06,20,-1.69,0,1.71,1.7
2/13/2025 3:23:54 PM.93,43.5,39.4,26.6,33.5,0.1,7.6,0,0.1,0.1,0.1,2.04,20,-1.69,0,1.71,1.7
2/13/2025 3:23:55 PM.43,43.5,39.4,26.6,33.5,0.1,7.6,0,0.1,0.1,0,2.04,20,-1.69,0,1.7,1.7
2/13/2025 3:23:55 PM.93,43.5,39.4,26.8,33.6,0.1,7.6,0,0.1,0,0.1,2.03,20,-1.69,0,1.7,1.69
2/13/2025 3:23:56 PM.43,43.5,39.4,26.8,33.6,0.1,7.6,0,0.1,0.1,0.1,2.04,20,-1.7,0,1.69,1.7
2/13/2025 3:23:56 PM.93,43.6,39.4,26.8,33.6,0.1,7.6,0,0.1,0,0.1,2.04,20,-1.73,0,1.69,1.71
2/13/2025 3:23:57 PM.43,43.6,39.4,26.8,33.6,0.1,7.6,0,0.1,0.1,0.1,2.06,20,-1.73,0,1.7,1.71
2/13/2025 3:23:57 PM.93,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0.1,0.1,2.05,20,-1.73,0,1.71,1.72
2/13/2025 3:23:58 PM.43,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0.1,0,2.06,20,-1.73,0,1.71,1.72
2/13/2025 3:23:58 PM.93,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0.1,0.1,2.07,20,-1.73,0,1.73,1.73
2/13/2025 3:23:59 PM.43,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0.1,0.1,2.05,20,-1.73,0,1.72,1.73
2/13/2025 3:23:59 PM.93,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0.1,0.1,2.04,20,-1.73,0,1.73,1.73
2/13/2025 3:24:00 PM.43,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0.1,0.1,2.05,20,-1.69,0,1.71,1.7
2/13/2025 3:24:00 PM.93,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0,0,2.05,20,-1.71,0,1.72,1.71
2/13/2025 3:24:01 PM.43,43.6,39.4,26.7,33.6,0.1,7.6,0,0.1,0.1,0.1,2.07,20,-1.73,0,1.73,1.73
2/13/2025 3:24:01 PM.93,43.5,39.3,26.6,33.6,0.1,7.6,0,0.1,0.1,0,2.06,21,-1.72,0,1.73,1.72
2/13/2025 3:24:02 PM.43,43.5,39.3,26.7,33.5,0.1,7.6,0,0.1,0.1,0.1,2.06,20,-1.69,0,1.73,1.71
2/13/2025 3:24:02 PM.93,43.5,39.3,26.5,33.5,0.1,7.6,0,0.1,0.1,0.1,2.04,20,-1.7,0,1.71,1.71
2/13/2025 3:24:03 PM.43,43.5,39.3,26.7,33.5,0.1,7.6,0,0.1,0.1,0.1,2.06,20,-1.69,0,1.75,1.72
2/13/2025 3:24:03 PM.93,43.4,39.3,26.4,33.5,0.1,7.6,0,0.1,0.1,0.1,2.05,21,-1.71,0,1.72,1.72
2/13/2025 3:24:04 PM.43,43.4,39.3,26.5,33.5,0.1,7.6,0,0.1,0.1,0.1,2.05,20,-1.67,0,1.76,1.71
2/13/2025 3:24:04 PM.93,43.4,39.3,26.4,33.5,0.1,7.6,0,0.1,0.1,0.1,2.07,21,-1.69,0,1.75,1.72
2/13/2025 3:24:05 PM.43,43.4,39.3,26.4,33.5,0.1,7.6,0,0.1,0,0,2.08,20,-1.67,0,1.78,1.73
2/13/2025 3:24:05 PM.93,43.4,39.2,26.3,33.4,0.1,7.6,0,0.1,0.1,0,2.05,21,-1.69,0,1.78,1.74
2/13/2025 3:24:06 PM.43,43.3,39.3,26.3,33.5,0.1,7.6,0,0.1,0,0.1,2.07,20,-1.71,0,1.78,1.74
2/13/2025 3:24:06 PM.93,43.3,39.2,26.2,33.4,0.1,7.6,0,0.1,0.1,0,2.07,20,-1.63,0,1.8,1.71
2/13/2025 3:24:07 PM.43,43.3,39.2,26.3,33.4,0.1,7.6,0,0.1,0.1,0.1,2.05,21,-1.66,0,1.79,1.72
2/13/2025 3:24:07 PM.93,43.3,39.2,26.1,33.3,0.1,7.6,0,0.1,0,0,2.02,21,-1.67,0,1.77,1.72
2/13/2025 3:24:08 PM.43,43.3,39.2,26.2,33.4,0.1,7.6,0,0.1,0.1,0.1,2.02,21,-1.67,0,1.79,1.73
2/13/2025 3:24:08 PM.93,43.3,39.2,26.1,33.3,0.1,7.6,0,0.1,0.1,0.1,2.03,20,-1.67,0,1.78,1.72
2/13/2025 3:24:09 PM.43,43.3,39.2,26,33.4,0.1,7.6,0,0.1,0.1,0.1,2.03,21,-1.67,0,1.79,1.73
