G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 2:56:38 PM.43,28.8,41.3,21.6,32.8,0.1,7.6,0,0.1,0.1,0.1,0.1,26,-5.01,4.55,0,4.78
2/13/2025 2:56:38 PM.93,28.9,41.3,21.6,32.8,0.1,7.6,0,0.1,0.1,0,0.09,25,-4.97,4.55,0,4.76
2/13/2025 2:56:39 PM.43,28.9,41.3,21.6,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-4.99,4.57,0,4.78
2/13/2025 2:56:39 PM.93,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.59,0,4.79
2/13/2025 2:56:40 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.57,0,4.78
2/13/2025 2:56:40 PM.93,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0,0.08,26,-5.01,4.55,0,4.78
2/13/2025 2:56:41 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0,0.1,0.1,26,-4.99,4.53,0,4.76
2/13/2025 2:56:41 PM.93,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.1,24,-4.97,4.51,0,4.74
2/13/2025 2:56:42 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.1,26,-4.95,4.49,0,4.72
2/13/2025 2:56:42 PM.93,28.9,41.3,21.8,32.8,0.1,7.6,0,0.1,0.1,0.1,0.08,26,-4.95,4.49,0,4.72
2/13/2025 2:56:43 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.45,0,4.72
2/13/2025 2:56:43 PM.93,28.9,41.3,21.8,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.47,0,4.73
2/13/2025 2:56:44 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-5.03,4.51,0,4.77
2/13/2025 2:56:44 PM.93,28.9,41.3,21.8,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.55,0,4.77
2/13/2025 2:56:45 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.51,0,4.75
2/13/2025 2:56:45 PM.93,28.9,41.3,21.8,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-5.01,4.53,0,4.77
2/13/2025 2:56:46 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.51,0,4.75
2/13/2025 2:56:46 PM.93,29,41.3,21.8,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-5.01,4.55,0,4.78
2/13/2025 2:56:47 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-5.01,4.53,0,4.77
2/13/2025 2:56:47 PM.93,29,41.3,21.8,32.9,0.1,7.6,0,0.1,0,0.1,0.1,26,-4.99,4.55,0,4.77
2/13/2025 2:56:48 PM.43,29,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.55,0,4.77
2/13/2025 2:56:48 PM.93,29,41.3,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.1,26,-4.93,4.55,0,4.74
2/13/2025 2:56:49 PM.43,29,41.3,21.7,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.95,4.53,0,4.74
2/13/2025 2:56:49 PM.93,29,41.3,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.53,0,4.76
2/13/2025 2:56:50 PM.43,29,41.2,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.95,4.51,0,4.73
2/13/2025 2:56:50 PM.93,29,41.3,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.91,4.49,0,4.7
2/13/2025 2:56:51 PM.43,29,41.3,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-4.93,4.49,0,4.71
2/13/2025 2:56:51 PM.93,29,41.3,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.93,4.49,0,4.71
2/13/2025 2:56:52 PM.43,28.9,41.3,21.7,32.9,0.1,7.6,0,0.1,0.1,0.1,0.08,26,-4.95,4.51,0,4.73
2/13/2025 2:56:52 PM.93,29,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.1,26,-4.97,4.53,0,4.75
2/13/2025 2:56:53 PM.43,29,41.3,21.7,32.9,0.1,7.6,0,0.1,0,0.1,0.09,26,-4.95,4.51,0,4.73
2/13/2025 2:56:53 PM.93,29,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.99,4.49,0,4.74
2/13/2025 2:56:54 PM.43,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.97,4.49,0,4.73
2/13/2025 2:56:54 PM.93,29,41.3,21.8,32.8,0.1,7.6,0,0.1,0.1,0.1,0.1,26,-4.99,4.49,0,4.74
2/13/2025 2:56:55 PM.43,28.9,41.3,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.97,4.42,0,4.69
2/13/2025 2:56:55 PM.93,28.9,41.3,21.7,32.8,0.1,7.6,0,0.1,0,0.1,0.09,26,-4.95,4.49,0,4.72
2/13/2025 2:56:56 PM.43,28.9,41.3,21.8,32.9,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.95,4.49,0,4.72
