G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 3:30:43 PM.68,41.9,31.7,20.3,30,0.1,7.6,0,0.1,0.1,0,0.09,18,-4.21,4.03,0,4.12
2/13/2025 3:30:44 PM.18,42,31.7,20.3,30,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.23,3.96,0,4.1
2/13/2025 3:30:44 PM.68,42,31.7,20.3,30,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.21,3.96,0,4.09
2/13/2025 3:30:45 PM.18,42,31.7,20.3,30,0.1,7.6,0,0.1,0.1,0,0.1,18,-4.21,3.94,0,4.08
2/13/2025 3:30:45 PM.68,42,31.7,20.3,30,0.1,7.6,0,0.1,0.1,0,0.09,18,-4.25,3.95,0,4.1
2/13/2025 3:30:46 PM.18,42.1,31.7,20.3,30,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.23,3.99,0,4.11
2/13/2025 3:30:46 PM.68,42,31.7,20.4,30,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.25,3.96,0,4.1
2/13/2025 3:30:47 PM.18,42,31.7,20.3,30,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.23,3.97,0,4.1
2/13/2025 3:30:47 PM.68,42,31.7,20.4,30,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.25,3.96,0,4.1
2/13/2025 3:30:48 PM.18,42,31.7,20.4,30,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.25,3.95,0,4.1
2/13/2025 3:30:48 PM.68,42,31.7,20.4,30,0.1,7.5,0,0.1,0.1,0.1,0.1,18,-4.27,3.92,0,4.09
2/13/2025 3:30:49 PM.18,42,31.7,20.4,30,0.1,7.5,0,0.1,0.1,0.1,0.1,19,-4.25,3.92,0,4.08
2/13/2025 3:30:49 PM.68,42,31.7,20.4,30,0.1,7.5,0,0.1,0.1,0.1,0.1,18,-4.23,3.9,0,4.07
2/13/2025 3:30:50 PM.18,42,31.7,20.4,30,0.1,7.5,0,0.1,0.1,0.1,0.09,18,-4.23,3.92,0,4.08
2/13/2025 3:30:50 PM.68,42,31.7,20.4,30,0.1,7.5,0,0.1,0.1,0.1,0.1,18,-4.23,3.93,0,4.08
2/13/2025 3:30:51 PM.18,42,31.7,20.4,30,0.1,7.5,0,0.1,0.1,0.1,0.09,19,-4.21,3.92,0,4.06
2/13/2025 3:30:51 PM.68,42,31.7,20.4,30,0.1,7.5,0,0.1,0.1,0,0.1,18,-4.23,3.95,0,4.09
2/13/2025 3:30:52 PM.18,42,31.7,20.4,30,0.1,7.6,0,0.1,0.1,0.1,0.1,19,-4.23,3.93,0,4.08
2/13/2025 3:30:52 PM.68,42,31.7,20.4,30.1,0.1,7.5,0,0.1,0.1,0.1,0.09,18,-4.19,3.93,0,4.06
2/13/2025 3:30:53 PM.18,42,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.23,3.97,0,4.1
2/13/2025 3:30:53 PM.68,42,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.23,3.94,0,4.08
2/13/2025 3:30:54 PM.18,42,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.23,3.94,0,4.08
2/13/2025 3:30:54 PM.68,42,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.27,3.92,0,4.09
2/13/2025 3:30:55 PM.18,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.21,3.95,0,4.08
2/13/2025 3:30:55 PM.68,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.19,3.93,0,4.06
2/13/2025 3:30:56 PM.18,42,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.23,3.97,0,4.1
2/13/2025 3:30:56 PM.68,42,31.7,20.5,30.1,0.1,7.5,0,0.1,0.1,0.1,0.09,19,-4.21,3.93,0,4.07
2/13/2025 3:30:57 PM.18,42,31.7,20.4,30.1,0.1,7.5,0.1,0.1,0.1,0.1,0.1,18,-4.23,3.94,0,4.08
2/13/2025 3:30:57 PM.68,42,31.7,20.5,30.1,0.1,7.5,0,0.1,0.1,0.1,0.1,18,-4.25,3.92,0,4.08
2/13/2025 3:30:58 PM.18,42,31.7,20.5,30.1,0.1,7.5,0,0.1,0.1,0.1,0.1,18,-4.21,3.93,0,4.07
2/13/2025 3:30:58 PM.68,42,31.7,20.5,30.1,0.1,7.5,0,0.1,0.1,0.1,0.09,19,-4.21,3.9,0,4.06
2/13/2025 3:30:59 PM.18,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.23,3.93,0,4.08
2/13/2025 3:30:59 PM.68,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.21,3.9,0,4.05
2/13/2025 3:31:00 PM.18,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.23,3.92,0,4.07
2/13/2025 3:31:00 PM.68,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,19,-4.19,3.9,0,4.04
2/13/2025 3:31:01 PM.18,42,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.19,3.94,0,4.06
2/13/2025 3:31:01 PM.68,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,19,-4.19,3.92,0,4.05
2/13/2025 3:31:02 PM.18,42,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,19,-4.17,3.94,0,4.06
2/13/2025 3:31:02 PM.68,42,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.19,3.95,0,4.07
2/13/2025 3:31:03 PM.18,41.9,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.17,3.96,0,4.06
2/13/2025 3:31:03 PM.68,42,31.8,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.19,3.97,0,4.08
