G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
MW1_Shell_Counter_Current,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
4/7/2025 2:55:38 PM.69,32.4,40.2,15.5,22.3,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.89,2.75,0,2.82
4/7/2025 2:55:39 PM.19,32.4,40.2,15.5,22.3,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.9,2.75,0,2.83
4/7/2025 2:55:39 PM.69,32.4,40.2,15.5,22.3,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.9,2.74,0,2.82
4/7/2025 2:55:40 PM.19,32.4,40.2,15.5,22.3,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.86,2.74,0,2.8
4/7/2025 2:55:40 PM.69,32.4,40.2,15.5,22.2,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.88,2.74,0,2.81
4/7/2025 2:55:41 PM.18,32.4,40.2,15.5,22.3,0.1,7.6,0.1,0.1,0.1,0,0.09,21,-2.86,2.73,0,2.8
4/7/2025 2:55:41 PM.68,32.3,40.1,15.5,22.2,0.1,7.6,0.1,0.1,0,0.1,0.09,20,-2.85,2.72,0,2.78
4/7/2025 2:55:42 PM.18,32.2,40.1,15.5,22.3,0.1,7.6,0.1,0.1,0,0.1,0.09,21,-2.84,2.72,0,2.78
4/7/2025 2:55:42 PM.69,32.2,40.1,15.3,22.2,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.9,2.74,0,2.82
4/7/2025 2:55:43 PM.19,32.2,40.1,15.5,22.3,0.1,7.5,0.1,0.1,0.1,0.1,0.09,20,-2.87,2.77,0,2.82
4/7/2025 2:55:43 PM.69,32.2,40.1,15.3,22.2,0.1,7.5,0,0.1,0.1,0.1,0.09,21,-2.86,2.74,0,2.8
4/7/2025 2:55:44 PM.19,32.3,40.2,15.5,22.3,0.1,7.5,0,0.1,0.1,0.1,0.09,21,-2.89,2.75,0,2.82
4/7/2025 2:55:44 PM.69,32.2,40.2,15.3,22.2,0.1,7.5,0,0.1,0.1,0.1,0.09,20,-2.92,2.72,0,2.82
4/7/2025 2:55:45 PM.18,32.4,40.2,15.4,22.3,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.89,2.76,0,2.82
4/7/2025 2:55:45 PM.69,32.3,40.1,15.3,22.2,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.84,2.75,0,2.8
4/7/2025 2:55:46 PM.18,32.3,40.2,15.4,22.3,0.1,7.6,0,0.1,0,0.1,0.09,21,-2.89,2.76,0,2.82
4/7/2025 2:55:46 PM.69,32.3,40.2,15.3,22.2,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.88,2.75,0,2.82
4/7/2025 2:55:47 PM.19,32.3,40.2,15.3,22.2,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.9,2.77,0,2.84
4/7/2025 2:55:47 PM.69,32.3,40.2,15.3,22.2,0.1,7.6,0,0.1,0,0.1,0.09,20,-2.89,2.77,0,2.83
4/7/2025 2:55:48 PM.19,32.3,40.2,15.3,22.2,0.1,7.6,0,0.1,0,0.1,0.09,20,-2.88,2.77,0,2.83
4/7/2025 2:55:48 PM.69,32.3,40.2,15.3,22.2,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.9,2.77,0,2.84
4/7/2025 2:55:49 PM.19,32.3,40.1,15.1,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.9,2.78,0,2.84
4/7/2025 2:55:49 PM.69,32.2,40.1,15.3,22.2,0.1,7.6,0,0.1,0,0,0.09,20,-2.9,2.77,0,2.84
