G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
MW1_Shell_Correct,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
4/7/2025 2:42:43 PM.44,40,32.9,15.1,21.5,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.58,2.58,0,2.58
4/7/2025 2:42:43 PM.94,40,32.9,15.1,21.5,0.1,7.6,0.1,0.1,0,0.1,0.09,24,-2.6,2.56,0,2.58
4/7/2025 2:42:44 PM.44,40,32.9,15.1,21.5,0.1,7.6,0.1,0.1,0,0.1,0.09,23,-2.6,2.58,0,2.59
4/7/2025 2:42:44 PM.94,40,32.9,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.6,2.6,0,2.6
4/7/2025 2:42:45 PM.44,40,32.9,15.1,21.6,0.1,7.6,0.1,0.1,0,0.1,0.09,24,-2.6,2.62,0,2.61
4/7/2025 2:42:45 PM.93,40,32.9,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,23,-2.57,2.6,0,2.58
4/7/2025 2:42:46 PM.44,40,32.9,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0,0.09,24,-2.58,2.6,0,2.59
4/7/2025 2:42:46 PM.94,40,33,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.08,24,-2.6,2.62,0,2.61
4/7/2025 2:42:47 PM.44,40,32.9,15,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.08,24,-2.61,2.64,0,2.63
4/7/2025 2:42:47 PM.94,40,33,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.6,2.62,0,2.61
4/7/2025 2:42:48 PM.44,40,32.9,15,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.59,2.64,0,2.61
4/7/2025 2:42:48 PM.94,40.1,33,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.59,2.62,0,2.61
4/7/2025 2:42:49 PM.44,40,33,15,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.57,2.64,0,2.6
4/7/2025 2:42:49 PM.94,40.1,33,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0,0.09,24,-2.6,2.63,0,2.61
4/7/2025 2:42:50 PM.44,40.1,33,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.61,2.61,0,2.61
4/7/2025 2:42:50 PM.94,40.2,33,15.3,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.61,2.62,0,2.61
4/7/2025 2:42:51 PM.44,40.2,33,15.3,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.59,2.58,0,2.59
4/7/2025 2:42:51 PM.93,40.3,33.1,15.4,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.59,2.58,0,2.58
4/7/2025 2:42:52 PM.44,40.3,33.1,15.4,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.62,2.56,0,2.59
4/7/2025 2:42:52 PM.94,40.3,33.1,15.4,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.08,24,-2.65,2.54,0,2.59
4/7/2025 2:42:53 PM.43,40.3,33.1,15.4,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.64,2.53,0,2.58
4/7/2025 2:42:53 PM.94,40.3,33.1,15.4,21.8,0.1,7.5,0.1,0.1,0.1,0,0.09,25,-2.62,2.55,0,2.59
4/7/2025 2:42:54 PM.44,40.3,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0,0.1,0.09,25,-2.64,2.57,0,2.6
4/7/2025 2:42:54 PM.94,40.3,33.1,15.4,21.8,0.1,7.5,0.1,0.1,0.1,0.1,0.09,25,-2.64,2.55,0,2.59
4/7/2025 2:42:55 PM.44,40.3,33.1,15.4,21.8,0.1,7.5,0.1,0.1,0.1,0.1,0.09,25,-2.64,2.58,0,2.61
4/7/2025 2:42:55 PM.94,40.3,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.65,2.58,0,2.61
4/7/2025 2:42:56 PM.44,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0,0.1,0.09,24,-2.61,2.57,0,2.59
4/7/2025 2:42:56 PM.93,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.61,2.58,0,2.59
